Date,"Total
vattenföring
[m³/s]","Total
stationskorrigerad
vattenföring
[m³/s]","Total
naturlig
vattenföring
[m³/s]","Lokal
vattenföring
[m³/s]","Vattendragstemperatur
[°C]",7-day Avg Total Vattenföring,30-day Avg Total Vattenföring,7-day Avg Lokal Vattenföring,30-day Avg Lokal Vattenföring,MD-MVM Id
2017-01-09,0.08,0.08,0.08,0.027,0.0,0.08299999999999999,0.09516666666666666,0.02742857142857143,0.031000000000000003,123
2017-01-10,0.08,0.08,0.08,0.027,0.0,0.08214285714285714,0.09406666666666667,0.027285714285714285,0.0307,123
2017-01-11,0.08,0.08,0.08,0.027,0.0,0.08142857142857143,0.093,0.027142857142857142,0.0304,123
2017-01-12,0.08,0.08,0.08,0.026,0.0,0.08085714285714286,0.09196666666666667,0.026857142857142857,0.030100000000000002,123
2017-01-13,0.08,0.08,0.08,0.026,0.0,0.08042857142857143,0.091,0.02671428571428571,0.0298,123
2017-01-14,0.079,0.079,0.079,0.026,0.0,0.08,0.09003333333333334,0.026571428571428572,0.029533333333333335,123
2017-01-15,0.078,0.078,0.078,0.026,0.0,0.07957142857142858,0.0891,0.02642857142857143,0.029266666666666667,123
2017-01-16,0.077,0.077,0.077,0.026,0.0,0.07914285714285715,0.08820000000000001,0.026285714285714284,0.029,123
2017-01-17,0.076,0.076,0.076,0.025,0.0,0.07857142857142858,0.0873,0.026,0.028733333333333336,123
2017-01-18,0.075,0.075,0.075,0.025,0.0,0.07785714285714285,0.0864,0.025714285714285714,0.028466666666666664,123
2017-01-19,0.075,0.075,0.075,0.025,0.0,0.07714285714285715,0.08556666666666667,0.02557142857142857,0.0282,123
2017-01-20,0.074,0.074,0.074,0.025,0.0,0.07628571428571429,0.08473333333333333,0.025428571428571432,0.027966666666666664,123
2017-01-21,0.073,0.073,0.073,0.024,0.0,0.07542857142857143,0.0839,0.025142857142857144,0.027700000000000002,123
2017-01-22,0.073,0.073,0.073,0.024,0.0,0.0747142857142857,0.08313333333333332,0.024857142857142855,0.027433333333333334,123
2017-01-23,0.072,0.072,0.072,0.024,0.0,0.074,0.08233333333333333,0.02457142857142857,0.0272,123
2017-01-24,0.072,0.072,0.072,0.024,0.0,0.07342857142857143,0.08156666666666666,0.02442857142857143,0.026966666666666663,123
2017-01-25,0.071,0.071,0.071,0.024,0.0,0.07285714285714286,0.08080000000000001,0.02428571428571429,0.026733333333333335,123
2017-01-26,0.07,0.07,0.07,0.024,0.0,0.07214285714285715,0.08003333333333333,0.024142857142857143,0.026533333333333336,123
2017-01-27,0.069,0.069,0.069,0.023,0.0,0.07142857142857142,0.07926666666666667,0.023857142857142855,0.0263,123
2017-01-28,0.069,0.069,0.069,0.023,0.0,0.07085714285714285,0.07856666666666666,0.023714285714285716,0.026066666666666665,123
2017-01-29,0.068,0.068,0.068,0.023,0.0,0.07014285714285715,0.07786666666666667,0.023571428571428573,0.025866666666666666,123
2017-01-30,0.067,0.067,0.067,0.023,0.0,0.06942857142857142,0.07713333333333333,0.02342857142857143,0.025666666666666667,123
