,SUBID,AROID,Sj�-id,Medeldjup,Maxdjup,Omsättningstid,wrt
341,1704,633219-136869,633186-136948,3.34,5.8,1.1,0.9090909090909091
342,1706,633222-144233,632727-144170,2.32,3.0,0.0161,62.11180124223603
343,1717,633303-130103,633280-130129,2.03,2.3,0.0364,27.47252747252747
344,1723,633315-130515,633220-130495,3.59,,0.0807,12.391573729863694
345,1724,633323-143902,633151-143906,5.77,13.7,0.563,1.7761989342806397
346,1729,633342-141212,633331-141180,3.88,,0.046,21.73913043478261
347,1732,633358-129920,633344-130068,9.84,22.0,3.58,0.27932960893854747
348,1739,633389-129705,633347-129763,4.93,,0.647,1.5455950540958268
349,1740,633389-145936,633177-145970,3.66,4.5,0.291,3.436426116838488
350,1746,633434-130214,633385-130229,6.85,17.0,0.338,2.9585798816568047
351,1752,633466-130414,633470-130392,2.05,3.0,0.0311,32.154340836012864
352,1755,633479-130125,633510-130096,6.02,18.0,2.51,0.39840637450199207
353,1765,633514-138058,633650-138207,1.7,2.8,0.403,2.4813895781637716
354,1766,633516-130562,633438-130484,9.13,26.7,1.66,0.6024096385542169
355,1768,633537-130364,633478-130340,3.52,,0.218,4.587155963302752
356,1769,633540-138478,633734-138368,4.8,10.6,0.742,1.3477088948787062
357,1774,633569-130078,633555-130018,5.91,11.0,1.07,0.9345794392523364
358,1781,633616-149422,633674-149431,2.96,6.5,0.179,5.58659217877095
359,1788,633630-130245,633503-130204,11.9,38.0,2.58,0.38759689922480617
360,1789,633631-134017,633778-134152,3.43,7.1,0.475,2.1052631578947367
361,1794,633669-149046,633606-149074,7.36,18.0,4.7,0.2127659574468085
362,1796,633685-142733,633911-142688,2.23,3.4,0.581,1.721170395869191
363,1800,633718-141555,633701-141543,3.14,9.1,0.0706,14.164305949008499
364,1808,633778-131375,633819-131377,3.28,,0.145,6.8965517241379315
365,1813,633804-145973,633494-145972,7.76,29.3,1.1,0.9090909090909091
366,1815,633819-133902,633911-134035,6.23,22.0,2.28,0.4385964912280702
367,1833,633906-136976,633816-137033,5.54,,0.13,7.692307692307692
368,1834,633912-143067,633976-142928,2.99,10.0,1.09,0.9174311926605504
369,1836,633923-144251,633959-144217,8.63,28.0,8.07,0.12391573729863692
370,1843,633977-132117,634207-132161,7.29,29.6,1.98,0.5050505050505051
371,1850,633994-144170,634021-144131,2.95,,0.257,3.8910505836575875
372,1873,634112-149404,634039-149580,8.63,35.7,1.08,0.9259259259259258
373,1874,634125-140029,634580-139854,5.26,,5.1,0.19607843137254904
374,1877,634134-130702,634039-130685,13.0,34.0,1.4,0.7142857142857143
375,1880,634143-142364,634076-142599,6.39,19.0,2.28,0.4385964912280702
376,1890,634195-141167,634172-141113,5.1,19.3,0.538,1.858736059479554
377,1903,634257-131089,634154-131102,6.72,,0.116,8.620689655172413
378,1905,634298-137173,634177-137086,4.94,18.2,0.934,1.070663811563169
379,1911,634324-138811,634342-138677,5.09,11.6,0.483,2.070393374741201
380,1913,634334-146983,634570-147131,7.35,17.5,1.19,0.8403361344537815
381,1928,634420-153139,634220-153277,1.87,7.0,0.17,5.88235294117647
382,1931,634442-144046,634447-144024,5.19,16.5,1.95,0.5128205128205129
383,1941,634492-146192,634496-146157,3.61,,0.407,2.4570024570024573
